a        阿呵啊嗬
dáo      捯
dào      辺到倒帱悼梼焘盗菿盜絩道稲箌翢噵稻艔衜檤衟幬檮燾翿軇瓙纛
dǎo      导岛陦倒島捣祷禂搗隝嘄嶋嶌導隯壔嶹擣蹈禱
dāo      刀刂叨忉朷氘舠釖鱽裯魛螩
de       地旳底的得脦
dé       恴得淂蚮悳惪棏锝徳德鍀
dē       嘚
děi      得
dēi      嘚
dèn      扥扽
deng     艠
dèng     邓凳鄧隥墱嶝憕澂澄瞪磴镫櫈瀓覴蹬鐙
děng     等戥
dēng     灯登豋僜噔嬁燈璒竳簦蹬
dí       扚廸旳狄肑的籴苖迪唙敌浟涤荻啇梑笛觌靮滌蓧馰髢嘀嫡翟蔋蔐頔敵樀篴镝嚁藡豴蹢鏑糴覿鸐
dì       地坔弟旳杕玓怟枤的苐俤哋埅帝埊娣递逓偙梊焍珶眱祶第菂蚳谛釱媂揥棣渧睇缔蒂遆僀楴禘腣遞鉪墆墑墬嵽摕疐碲蔕蝃遰慸甋締蝭嶳諟諦踶螮
dǐ       氐厎坘诋邸阺呧坻底弤抵拞枑柢牴砥掋菧提觝詆軧楴聜骶
dī       氐仾低奃岻彽秪袛啲埞羝隄堤提渧趆嘀滴碮樀镝磾鞮鏑
diǎ      嗲
dian     点椣點
diàn     电佃甸阽坫店垫扂玷痁钿婝惦淀奠琔殿痶蜔鈿電墊壂橂橝澱靛磹癜簟驔
diǎn     典奌点婰敟跕碘蒧蕇踮點
diān     佔敁掂傎厧嵮滇槇槙瘨窴颠蹎巅顚顛癫巓巔攧癲齻
diào     弔伄吊钓盄窎訋调掉釣铞铫絩鈟竨蓧誂銚銱雿魡調瘹窵鋽藋鑃
diǎo     鸟扚屌鳥
diāo     刁叼汈刟虭凋奝弴彫蛁椆琱貂碉鳭瞗錭雕鮉鲷鼦鯛鵰
die      幉
dié      佚怢泆苵迭咥垤峌恎挕昳柣绖胅瓞眣耊啑戜眰谍喋堞崼惵揲畳絰耋臷詄趃跕軼叠楪殜牃牒跮镻嵽碟蜨褋槢艓蝶疂諜蹀鴩螲鲽蹛鞢曡鰈疉疊氎
diè      哋
diē      爹跌褺
dìng     订忊饤矴钉定訂釘飣啶掟萣铤椗腚碇锭碠鋌錠磸顁
dǐng     奵艼顶酊頂鼎嵿鼑濎薡鐤
dīng     丁仃叮奵帄玎町甼疔盯钉耵虰酊釘靪
diū      丟丢铥颩銩
dong     鶫
dòng     动冻侗垌姛峒恫挏栋洞狪胨迵凍戙烔胴動娻崠硐棟湩絧腖働勭燑駧霘
dǒng     揰董墥嬞懂箽蕫諌
dōng     东冬咚岽東苳昸氡倲鸫埬娻崠崬涷笗菄氭蝀鮗鼕鯟鶇
dou      乧
dóu      唞
dòu      斗吋豆郖浢狵荳读逗饾鬥梪毭渎脰酘痘閗窦鬦鋀餖斣瀆闘竇鬪讀鬬鬭
dǒu      斗阧抖枓钭陡蚪鈄
dōu      吺枓侸剅唗都兜兠蔸橷瞗篼
dú       毒独读顿渎椟牍犊頓裻読獨錖凟匵嬻瀆櫝殰牘犢瓄皾騳黩讀豄贕韣髑鑟韇韥黷讟
dù       芏妒杜肚妬姤度荰秺晵渡靯镀螙斁殬鍍蠧蠹
dǔ       肚竺笃堵暏琽赌睹覩賭篤
dū       厾剢都阇嘟督醏闍髑
duàn     段断塅缎葮椴煅瑖腶碫锻緞毈簖鍛斷躖籪
duǎn     短
duān     耑偳剬媏端褍鍴
duì      队对兊兌兑対杸祋怼陮敓敚隊敦碓綐對憞憝錞濧濻薱镦懟瀢瀩譈鐓譵轛
duǐ      啍頧
duī      垖追堆塠痽磓镦鴭鐓鐜
dun      碷壿
dùn      伅囤坉庉忳沌炖盾砘逇钝顿遁鈍楯頓遯憞潡燉踲
dǔn      盹趸躉
dūn      吨惇敦蜳墩墪墫撴噸撉橔犜礅镦蹲蹾鐓驐
duo      掇鈬
duó      仛夺沰度铎剫敓敚喥痥奪凙澤踱鐸
duò      驮杕杝刴剁枤沲陊陏饳垛垜尮挅挆柁柂柮桗堕舵隋媠惰隓跢跥跺飿馱墮憜駄墯隳鵽
duǒ      朵朶哚垛垜挆埵崜缍袳椯硾趓躱躲綞亸軃鬌嚲奲
duō      多夛咄哆剟掇敠敪毲裰跢嚉
e        呃呝鵈
é        讹吪囮迗俄峉哦娥峨峩涐莪珴訛皒睋鈋锇鹅蛾磀誐鋨頟额魤額鵝鵞譌
è        厄戹岋阨呃扼苊阸呝枙砐轭咢咹垩姶洝砈匎恶敋胺蚅饿偔卾堊娾悪硆谔軛鄂阏堨堮崿惡愕湂萼豟軶遌遏鈪廅搕搤搹琧痷腭僫蝁锷鹗蕚遻頞颚餓噩擜覨諤閼餩鍔鳄歞顎礘櫮鰐鶚鰪讍齃鑩
è        齶鱷
ě        枙娿恶砨惡頋噁騀
ē        阿妸妿娿婀屙痾
éi       诶欸誒
èi       诶欸誒
ěi       诶欸誒
ēi       诶欸誒
èn       摁
ěn       峎
ēn       奀恩蒽煾
ēng      鞥
er       儿兒粫趰
ér       儿而児杒侕兒陑峏洏耏荋栭胹唲梕袻鸸聏輀鲕隭髵鮞鴯臑轜
èr       二弍弐佴刵咡贰貮铒衈貳誀鉺樲髶
ěr       尒尓尔耳佴迩洱饵栮毦珥铒衈爾鉺餌駬薾邇
ēr       乻
fa       鍅
fá       乏伐姂坺垡疺罚茷阀栰笩傠筏瞂罰閥墢罸橃藅
fà       发珐琺髪蕟髮
fǎ       佱法峜砝灋
fā       发冹沷発發酦彂醗醱
fán      凡凢凣氾匥杋柉矾籵钒舤烦舧袢笲釩棥煩緐墦樊蕃燔璠膰薠繁襎羳蹯瀿礬蘩鐇蠜鷭
fàn      氾犯奿汎泛饭范贩畈訉軓婏桳梵盕笵販軬飯飰滼嬎範輽瀪
fǎn      反仮払返橎
fān      帆忛犿拚畨番勫噃嬏幡憣蕃旙旛繙翻藩轓颿籓飜鱕
fang     堏
fáng     防坊妨房肪埅鲂魴
fàng     放趽
fǎng     仿访彷纺昉昘瓬眆倣旊眪紡舫訪髣鶭
fāng     匚方邡坊汸芳枋牥祊钫淓蚄趽鈁鴋
féi      肥疿淝腓痱蜰
fèi      发吠犻芾废怫杮柹沸狒肺胏昲胇费俷剕厞疿砩陫屝笰萉廃發費痱镄廢曊橃橨癈鼣濷蟦櫠鐨靅
fěi      朏胐匪诽奜悱菲斐棐榧翡蜚蕜誹篚
fēi      飞妃非飛啡婓婔渄绯菲扉斐暃猆靟裶緋蜚霏鲱餥馡騑騛鯡飝
fen      竕瞓
fén      坆坟妢岎汾朌枌炃羒蚠蚡棼焚蒶隫墳幩濆獖蕡魵鳻橨燌燓豮鼢羵鼖豶轒鐼馩黂
fèn      分份坋弅奋忿秎偾愤粪僨憤獖奮橨膹糞鲼瀵鱝
fěn      粉黺
fēn      分吩帉纷芬昐氛玢砏衯梤紛翂棻訜酚鈖雰馚朆餴饙
feng     琒
féng     冯夆沨浲逢堸渢溄馮摓漨綘缝艂縫
fèng     凤风奉風俸桻湗焨葑煈缝赗鳯鳳鴌縫賵
fěng     风讽風覂唪諷
fēng     丰风仹凨凬夆妦沣沨凮枫炐封疯盽砜風埄峯峰莑偑桻烽堼崶渢猦葑锋楓犎蜂熢瘋碸僼篈鄷鋒檒豐鎽鏠酆寷灃蘴蠭靊飌麷
fēnwǎ    瓰
fiào     覅
fó       仏仸佛坲
fóu      紑
fǒu      不缶否妚炰缹缻殕雬鴀
fu       酜椨禣
fú       乀夫巿弗払伏凫甶佛刜孚扶芙芣芾咈姇宓岪帗彿怫拂服枎泭绂绋苻茀俘垘枹柫柭氟洑炥玸畉畐祓罘胕茯郛韨鳬哹垺栿浮畗砩莩蚨袚匐桴涪烰琈符笰紱紼翇艴菔虙袱幅棴絥罦葍跗福粰綍
fú       艀蜉辐鉘鉜颫鳧榑稪箁箙豧韍颰幞澓蝠髴鴔諨踾輻鮄癁襆黻襥鵩纀鶝
fù       父讣付妇负附咐坿彿服竎阜驸复峊柎洑祔訃負赴蚥袝偩冨副婏婦捬紨蚹傅媍富復秿萯蛗覄詂赋椱缚腹鲋榑複褔赙緮蕧蝜蝮賦駙嬔縛輹鮒賻鍑鍢鳆覆馥鰒
fǔ       阝父呒抚甫府弣拊斧俌俛柎郙俯蚥釜釡捬脯辅焤盙腑滏蜅腐輔嘸撫頫鬴簠黼
fū       夫伕邞呋妋孚抙姇枎玞肤怤柎砆胕荂衭娐尃捊荴旉琈紨趺麸稃跗鈇筟粰綒鄜孵蓲敷膚鳺麩糐麬麱懯璷
gá       轧钆軋尜釓嘎嘠噶錷
gà       尬魀
gǎ       尕玍朒嘎嘠
gā       夹旮伽夾呷咖嘎嘠
gài      丐乢匃匄杚芥钙盖硙摡溉葢鈣戤概蓋槩槪漑磑瓂
gǎi      忋改絠
gāi      侅该郂陔垓姟峐荄晐赅畡祴絯隑該豥賅賌
gàn      干佄旰汵盰绀倝凎淦紺詌骭幹榦檊簳贑赣贛灨
gǎn      仠芉杆皯秆衦赶敢桿笴稈感澉趕橄擀澸篢簳鳡鱤
gān      干甘奸忓迀攼杆玕肝咁坩姏泔矸苷乹柑玵竿疳酐乾粓亁凲尲尴筸漧鳱尶尷魐
gàng     岗杠钢崗焵焹筻槓鋼戅戆戇
gǎng     岗犺崗港
gāng     冈冮刚扛岗杠纲肛岡牨疘矼缸钢剛罡堈崗掆釭棡犅堽摃碙槓綱罁鋼鎠
gao      吿
gào      告勂诰郜峼祮祰锆筶禞膏誥鋯
gǎo      夰杲菒稁搞缟暠槀槁稾稿镐縞藁檺藳鎬
gāo      皋羔羙高皐髙臯睪槔睾膏槹獋橰篙糕餻櫜韟鷎鼛鷱
ge       彁櫊
gé       呄肐佫佮匌挌茖阁革敋格胳鬲愅搁猲臵葛蛒蛤裓隔颌嗝塥滆觡搿槅膈閣閤獦镉鞈韐頜骼臈諽輵擱鮥鮯鎑鎘韚髂轕鞷騔
gè       个各吤茖虼個硌铬箇鉻
gě       个各合個哿盖笴舸嘅葛嗰蓋鲄魺
gē       戈仡圪扢犵纥戓肐牫疙咯紇饹哥格胳袼鸽割搁歌滒戨餎鴚擱謌鴿鎶
gěi      给給
gén      哏
gèn      亘亙艮茛揯搄
gěn      艮
gēn      根跟
geng     椩
gèng     更堩暅緪縆
gěng     郠哽埂峺挭绠耿莄梗颈綆鲠頸骾鯁
gēng     更刯庚畊浭耕菮焿絙絚赓鹒緪縆羮賡羹鶊
gi       怾
gòng     共贡供羾唝貢嗊愩慐熕赣贛
gǒng     廾共巩汞拱唝拲栱珙嗊輁澒銾鞏
gōng     工弓公厷功共红攻杛侊供糼糿肱宫紅宮恭蚣躬龚匑塨幊愩觥躳慐匔碽篢髸觵龏龔
gongfen  兝
gongli   兣
gòu      勾呴坸构诟购垢姤冓啂够夠傋訽媾彀搆詬遘雊構煹觏撀糓覯購
gǒu      芶岣狗苟枸玽耇耉笱耈蚼豿
gōu      勾句佝沟拘枸钩痀袧缑鈎溝鉤緱褠篝簼鞲韝
gu       逧傦脵
gú       鹘鶻
gù       估固怘故凅顾堌崓崮梏牿棝祻雇榾痼锢僱錮鲴鯝顧
gǔ       古夃扢抇汩诂谷股苦牯骨罟羖贾钴啒淈蛄蛊嗗尳愲詁馉鹄榾毂賈鈷鼓鼔嘏榖皷鹘穀縎糓薣濲皼臌轂餶櫎瀔盬瞽鵠鶻蠱
gū       估杚呱咕姑孤沽泒苽柧轱骨唂唃家罛鸪笟菇菰蛄蓇觚軱軲辜酤毂稒鈲磆箍箛嫴篐橭鮕鴣轂
gua      颪
guà      卦坬诖挂啩掛罣袿絓罫褂詿
guǎ      冎叧呙呱咼剐剮寡
guā      瓜刮呱括胍栝桰铦鸹歄煱趏劀緺銛諣踻銽颳鴰騧
guái     叏
guài     夬怪恠
guǎi     拐枴柺罫箉
guāi     乖掴摑
guàn     卝毌丱观串贯冠泴覌悺惯掼涫淉貫悹祼慣摜潅遦樌盥罆雚観躀鏆灌爟瓘矔礶鹳罐觀鑵欟鸛鱹
guǎn     莞豘馆琯痯筦斡管輨璭舘錧館鳤
